-2257676.1345 -3793678.4123 4326160.3733	-190000 273.396453
-2256635.2603 -3794297.6592 4326160.3733	-190000 274.644839
-2255594.2162 -3794916.6204 4326160.3733	-190000 275.893224
-2254553.0024 -3795535.2960 4326160.3733	-190000 277.141610
-2253511.6189 -3796153.6860 4326160.3733	-190000 278.389996
-2252470.0658 -3796771.7902 4326160.3733	-190000 279.638381
-2251428.3431 -3797389.6087 4326160.3733	-190000 280.886767
-2250386.4510 -3798007.1413 4326160.3733	-190000 282.135153
-2249344.3895 -3798624.3881 4326160.3733	-190000 283.383538
-2248302.1587 -3799241.3489 4326160.3733	-190000 284.631924
-2247259.6924 -3799858.0631 4326160.3733	-190000 285.880310
-2246217.1232 -3800474.4519 4326160.3733	-190000 287.128695
-2245174.3849 -3801090.5548 4326160.3733	-190000 288.377081
-2244131.4777 -3801706.3715 4326160.3733	-190000 289.625466
-2243088.4016 -3802321.9021 4326160.3733	-190000 290.873852
-2242045.1566 -3802937.1465 4326160.3733	-190000 292.122238
-2241001.7429 -3803552.1046 4326160.3733	-190000 293.370623
-2239958.1605 -3804166.7765 4326160.3733	-190000 294.619009
-2238914.4095 -3804781.1621 4326160.3733	-190000 295.867395
-2237870.4900 -3805395.2613 4326160.3733	-190000 297.115780
-2236826.4020 -3806009.0740 4326160.3733	-190000 298.364166
-2235782.1457 -3806622.6003 4326160.3733	-190000 299.612551
-2234737.7211 -3807235.8401 4326160.3733	-190000 300.860937
-2233693.1283 -3807848.7933 4326160.3733	-190000 302.109323
-2232648.3674 -3808461.4599 4326160.3733	-190000 303.357708
-2231603.3720 -3809073.8788 4326160.3733	-190000 304.606094
-2230558.2751 -3809685.9721 4326160.3733	-190000 305.854480
-2229513.0102 -3810297.7786 4326160.3733	-190000 307.102865
-2228467.5776 -3810909.2983 4326160.3733	-190000 308.351251
-2227421.9773 -3811520.5312 4326160.3733	-190000 309.599637
-2226376.2092 -3812131.4772 4326160.3733	-190000 310.848022
-2225330.2737 -3812742.1362 4326160.3733	-190000 312.096408
-2224284.1706 -3813352.5083 4326160.3733	-190000 313.344793
-2223237.9001 -3813962.5934 4326160.3733	-190000 314.593179
-2222191.4623 -3814572.3914 4326160.3733	-190000 315.841565
-2221144.8572 -3815181.9023 4326160.3733	-190000 317.089950
-2220098.0849 -3815791.1260 4326160.3733	-190000 318.338336
-2219051.1455 -3816400.0626 4326160.3733	-190000 319.586722
-2218004.0392 -3817008.7119 4326160.3733	-190000 320.835107
-2216956.7658 -3817617.0739 4326160.3733	-190000 322.083493
-2215909.3256 -3818225.1485 4326160.3733	-190000 323.331878
-2214861.6520 -3818832.9744 4326160.3733	-190000 324.580264
-2213813.8783 -3819440.4743 4326160.3733	-190000 325.828650
-2212765.9380 -3820047.6866 4326160.3733	-190000 327.077035
-2211717.8311 -3820654.6114 4326160.3733	-190000 328.325421
-2210669.5578 -3821261.2487 4326160.3733	-190000 329.573807
-2209621.1181 -3821867.5983 4326160.3733	-190000 330.822192
-2208572.5120 -3822473.6603 4326160.3733	-190000 332.070578
-2207523.7397 -3823079.4345 4326160.3733	-190000 333.318964
-2206474.8013 -3823684.9210 4326160.3733	-190000 334.567349
-2205425.6968 -3824290.1198 4326160.3733	-190000 335.815735
-2204376.4263 -3824895.0306 4326160.3733	-190000 337.064120
-2203326.9899 -3825499.6536 4326160.3733	-190000 338.312506
-2202277.3877 -3826103.9887 4326160.3733	-190000 339.560892
-2201227.6196 -3826708.0357 4326160.3733	-190000 340.809277
-2200177.6860 -3827311.7948 4326160.3733	-190000 342.057663
-2199127.5867 -3827915.2658 4326160.3733	-190000 343.306049
-2198077.2550 -3828518.4870 4326160.3733	-190000 344.554434
-2197026.8248 -3829121.3817 4326160.3733	-190000 345.802820
-2195976.2291 -3829723.9881 4326160.3733	-190000 347.051205
-2194925.4682 -3830326.3064 4326160.3733	-190000 348.299591
-2193874.5421 -3830928.3363 4326160.3733	-190000 349.547977
-2192823.4509 -3831530.0779 4326160.3733	-190000 350.796362
-2191772.1946 -3832131.5311 4326160.3733	-190000 352.044748
-2190720.7733 -3832732.6958 4326160.3733	-190000 353.293134
-2189669.1871 -3833333.5721 4326160.3733	-190000 354.541519
-2188617.4362 -3833934.1599 4326160.3733	-190000 355.789905
-2187565.5205 -3834534.4591 4326160.3733	-190000 357.038291
-2186513.4402 -3835134.4696 4326160.3733	-190000 358.286676
-2185461.1952 -3835734.1916 4326160.3733	-190000 359.535062
-2184408.7858 -3836333.6248 4326160.3733	-190000 360.783447
-2183356.2120 -3836932.7692 4326160.3733	-190000 362.031833
-2182303.4739 -3837531.6249 4326160.3733	-190000 363.280219
-2181250.5045 -3838130.2298 4326160.3733	-190000 364.528604
-2180197.4379 -3838728.5077 4326160.3733	-190000 365.776990
-2179144.2072 -3839326.4967 4326160.3733	-190000 367.025376
-2178090.8124 -3839924.1968 4326160.3733	-190000 368.273761
-2177037.2538 -3840521.6078 4326160.3733	-190000 369.522147
-2175983.5313 -3841118.7297 4326160.3733	-190000 370.770532
-2174929.6450 -3841715.5625 4326160.3733	-190000 372.018918
-2173875.5950 -3842312.1062 4326160.3733	-190000 373.267304
-2482161.7822 -3652390.1491 4327490.2075	-188100 0.000000
-2481159.6617 -3653070.9885 4327490.2075	-188100 1.248386
-2480157.3545 -3653751.5530 4327490.2075	-188100 2.496771
-2479154.8607 -3654431.8425 4327490.2075	-188100 3.745157
-2478152.1802 -3655111.8569 4327490.2075	-188100 4.993543
-2477149.3132 -3655791.5961 4327490.2075	-188100 6.241928
-2476146.2598 -3656471.0603 4327490.2075	-188100 7.490314
-2475143.0200 -3657150.2492 4327490.2075	-188100 8.738699
-2474139.5300 -3657829.2060 4327490.2075	-188100 9.987085
-2473135.9177 -3658507.8443 4327490.2075	-188100 11.235471
-2472132.1192 -3659186.2073 4327490.2075	-188100 12.483856
-2471128.1346 -3659864.2948 4327490.2075	-188100 13.732242
-2470123.9641 -3660542.1069 4327490.2075	-188100 14.980628
-2469119.6076 -3661219.6435 4327490.2075	-188100 16.229013
-2468115.0653 -3661896.9045 4327490.2075	-188100 17.477399
-2467110.3372 -3662573.8898 4327490.2075	-188100 18.725784
-2466105.4234 -3663250.5995 4327490.2075	-188100 19.974170
-2465100.3241 -3663927.0335 4327490.2075	-188100 21.222556
-2464095.0391 -3664603.1917 4327490.2075	-188100 22.470941
-2463089.5687 -3665279.0741 4327490.2075	-188100 23.719327
-2462083.9129 -3665954.6806 4327490.2075	-188100 24.967713
-2461078.0718 -3666630.0111 4327490.2075	-188100 26.216098
-2460072.0455 -3667305.0657 4327490.2075	-188100 27.464484
-2459065.8340 -3667979.8443 4327490.2075	-188100 28.712870
-2458059.3734 -3668654.3897 4327490.2075	-188100 29.961255
-2457052.7918 -3669328.6161 4327490.2075	-188100 31.209641
-2456046.0253 -3670002.5662 4327490.2075	-188100 32.458026
-2455039.0739 -3670676.2402 4327490.2075	-188100 33.706412
-2454031.9377 -3671349.6378 4327490.2075	-188100 34.954798
